NOM,ADRECA,CATEGORIA,TIPUS,DESCRIPCIO,WKT,LAT,LNG
"Farmàcia Subirana Calvé","Carrer del Rosselló 43. 08303 Mataró (BARCELONA)","Serveis sanitaris","Farmàcies","De dilluns a divendres de  9:00h a 13:30h i de 16:30h a 20:30h. Dissabtes de 9:00h a 13:30h","POINT (2.42515959171583 41.5388137413662)","41.5388137413662","2.42515959171583"
"Farmàcia Elisa Barreda","Carrer d'Alemanya 6. 08303 Mataró (BARCELONA)","Serveis sanitaris","Farmàcies","De dilluns a divendres de  9:00h a 13:30h i de 16:30h a 20:30h. Dissabtes de 9:00h a 13:30h","POINT (2.43133153909947 41.5466680967623)","41.5466680967623","2.43133153909947"
"Farmàcia El Torrent","El Torrent 7. 08302 Mataró (BARCELONA)","Serveis sanitaris","Farmàcies","De dilluns a dissabtes de  9:00h a 14:00h i de 16:00h a 21:00h","POINT (2.4405992686131 41.5402673251852)","41.5402673251852","2.4405992686131"
"Farmàcia Alfonso-Cos","Avinguda d'Amèrica 33. 08304 Mataró (BARCELONA)","Serveis sanitaris","Farmàcies","De dilluns a divendres de 9:00h a 22:00h","POINT (2.44798985650506 41.5476462417902)","41.5476462417902","2.44798985650506"
"Farmàcia Susana López","Ronda de Frederic Mistral 26. 08304 Mataró (BARCELONA)","Serveis sanitaris","Farmàcies","De dilluns a divendres de  9:00h a 13:30h i de 16:30h a 20:30h. Dissabtes de 9:00h a 13:30h","POINT (2.43986249132784 41.5516124826069)","41.5516124826069","2.43986249132784"
"Parafarmàcia - Farmafree I","Carrer de Barcelona 27. 08301 Mataró (BARCELONA)","Serveis sanitaris","Farmàcies","Parafarmàcia","POINT (2.44596315135357 41.5386917533167)","41.5386917533167","2.44596315135357"
"Farmàcia Fité","La Riera 57. 08302 Mataró (BARCELONA)","Serveis sanitaris","Farmàcies","De dilluns a divendres de  9:00h a 13:30h i de 16:30h a 20:30h. ","POINT (2.44445823631549 41.5400963534006)","41.5400963534006","2.44445823631549"
"Farmàcia Esteve Albert 43","Carrer d'Esteve Albert 43. 08304 Mataró (BARCELONA)","Serveis sanitaris","Farmàcies","de dl. a dv 09:00-13:30, 16:30-20:30","POINT (2.43505965127654 41.5445123558014)","41.5445123558014","2.43505965127654"
"Farmàcia Els jutjats","Ronda de Francesc Macià 1. 08302 Mataró (BARCELONA)","Serveis sanitaris","Farmàcies","de dl. a dv. de 9 a 21h ds. de 9 a 14h","POINT (2.43831647128796 41.5326675979185)","41.5326675979185","2.43831647128796"
"Farmàcia Europea","Via d'Europa 92. 08304 Mataró (BARCELONA)","Serveis sanitaris","Farmàcies","de dl. a dv. 9:00 a 14:00 horas i de 16:30 a 21:00h ds de 9:00 a 14:00 h.","POINT (2.43274825736998 41.5440182053096)","41.5440182053096","2.43274825736998"
"Farmàcia Vilardell","Avinguda de Josep Puig i Cadafalch 256. 08303 Mataró (BARCELONA)","Serveis sanitaris","Farmàcies","De dilluns a divendres de  9:00h a 13:30h i de 16:30h a 20:30h. ","POINT (2.42318345628221 41.540683831388)","41.540683831388","2.42318345628221"
"Farmàcia Corona Colldeforn","Ronda de Leopoldo O'donnell 11. 08303 Mataró (BARCELONA)","Serveis sanitaris","Farmàcies","Oberta les 24 h.","POINT (2.43152957229316 41.5373569495522)","41.5373569495522","2.43152957229316"
"Farmàcia SPA","Carrer de Santa Maria 3. 08301 Mataró (BARCELONA)","Serveis sanitaris","Farmàcies","De dilluns a divendres de  9:00h a 13:30h i de 16:30h a 20:30h. ","POINT (2.44647228030697 41.540671712011)","41.540671712011","2.44647228030697"
"Farmàcia Plana","Plaça de Cuba 4. 08302 Mataró (BARCELONA)","Serveis sanitaris","Farmàcies","De dilluns a divendres de 8:30h a 20:30h. Dissabtes de 9:00h a 13:30h","POINT (2.44052462617249 41.5375668133602)","41.5375668133602","2.44052462617249"
"Farmàcia Simón","Avinguda de Jaume Recoder 62. 08302 Mataró (BARCELONA)","Serveis sanitaris","Farmàcies","De dilluns a dissabtes de  9:00h a 21:00h. Festius de 9:00h a 14:00h","POINT (2.44354049146084 41.5337304623718)","41.5337304623718","2.44354049146084"
"Farmàcia Coll","Carrer de Sant Josep 30. 08302 Mataró (BARCELONA)","Serveis sanitaris","Farmàcies","De dilluns a divendres de  9:00h a 13:30h i de 16:30h a 20:30h. Dissabtes de 9:00h a 13:30h","POINT (2.44325319956568 41.539552094577)","41.539552094577","2.44325319956568"
"La Natura - Centre d'herbodietètica","Plaça de Can Xammar 2. 08301 Mataró (BARCELONA)","Serveis sanitaris","Farmàcies","Parafarmàcia","POINT (2.44773088426618 41.5394335015204)","41.5394335015204","2.44773088426618"
"Farmàcia SPA","Carrer de Sant Valentí 43. 08302 Mataró (BARCELONA)","Serveis sanitaris","Farmàcies","De dilluns a divendres de 9:00h a 13:30h i de 16:30h a 20:30h. Dissabtes de 9:00h a 13:30h","POINT (2.43551785896753 41.5326256637669)","41.5326256637669","2.43551785896753"
"Farmàcia Coll-del-Rio","Carrer de Sant Cristòfor 1. 08301 Mataró (BARCELONA)","Serveis sanitaris","Farmàcies","De dilluns a divendres de  9:00h a 13:30h i de 16:30h a 20:30h. ","POINT (2.44692885851627 41.539684267433)","41.539684267433","2.44692885851627"
"Farmàcia Corona-Subirana","Passeig de Ramon Berenguer III 75. 08303 Mataró (BARCELONA)","Serveis sanitaris","Farmàcies","De dilluns a divendres de  9:00h a 13:30h i de 16:30h a 20:30h. Dissabtes de 9:00h a 13:30h","POINT (2.42462887697482 41.5370216739531)","41.5370216739531","2.42462887697482"
"Farmàcia Subirats","Ronda de Rafael Estrany 43. 08304 Mataró (BARCELONA)","Serveis sanitaris","Farmàcies","Oberta les 24 h.","POINT (2.45023764290876 41.5509458256867)","41.5509458256867","2.45023764290876"
